Year,Site,Plot #,Genus,sapling_or_tree,dbh (cm),L/D,Height (m),Frag. Class (1-4),Decay Class (I-IV),Notes
2017,S,17.1,M,,20.2,D,6,,,
2017,S,17.1,M,,16.2,L,,,,
2011,S,11.2,maple,,25.5,D,4,,,
2009,S,9.2,Maple,,16.5,L,4.65,,,
2011,S,11.2,maple,,13.3,L,7.2,,,
2009,S,9.2,Maple,,18.5,L,8.25,,,
2009,S,9.2,Maple,,16.5,L,8.55,,,
2011,S,11.1,Maple,,14.1,L,9.558,,,
2009,S,9.2,Maple,,33.1,L,10.05,,,
2009,S,9.1,Maple,,9.5,L,12.75,,,
2009,S,9.1,Maple,,26.0,L,15.3,,,
2009,S,9.1,Maple,,20.0,L,16.95,,,
2011,O,11.1,Maple,,33.6,L,19.89,,,
2009,O,9.1,Maple,,29.0,L,25.35,,,
2017,O,17.1,Maple,,28.0,L,,,,
2017,O,17.2,Maple,,30.0,L,,,,
2017,O,17.3,maple,,48.0,L,,,,
2017,S,17.5,maple,,6.0,L,,,,
2017,S,17.5,maple,,35.0,L,,,,
2020,old forest,20.2,maple,,44.5,L,,,,
2020,old,20.4,Maple,Sapling,,L,,,,
2020,old,20.4,Maple,sapling,,L,,,,
2020,old,20.4,Maple,sapling,,L,,,,
2020,second-growth,20.6,Maple,,25.6,L,,,,
2020,second-growth,20.6,Maple,,14,L,,,,
2020,second-growth,20.6,Maple,Sapling,,L,,,,
2020,second-growth,20.6,Maple,Sapling,,L,,,,
2020,second-growth,20.6,Maple,Sapling,,L,,,,
2017,S,17.1,O,,18.5,L,,,,
2017,S,17.1,O,,22.1,L,,,,
2017,S,17.1,O,,33.7,L,,,,
2011,S,11.1,Oak,,27.5,L,9.165,,,
2011,S,11.2,oak,,24.7,L,9.2,,,
2011,S,11.1,Oak,,21.1,L,9.435,,,
2020,old forest,20.1,oak,,27.2,D,10,2,2,
2011,S,11.1,Oak,,25.1,L,11.28,,,
2011,S,11.2,oak,,33.0,L,11.3,,,
2011,S,11.2,oak,,36.4,L,12.1,,,
2011,O,11.1,Oak,,39.3,L,12.35,,,
2011,S,11.2,oak,,24.0,L,12.5,,,
2009,O,9.1,Oak,,40.0,L,12.75,,,
2011,S,11.2,oak,,36.8,L,14.7,,,
2009,S,9.1,Oak,,35.0,L,16.35,,,
2011,O,11.1,Oak,,44.8,L,16.464,,,
2011,O,11.2,oak,,48.3,L,18.45,,,
2009,S,9.1,Oak,,23.5,L,24.3,,,
2017,O,17.1,Oak,,48.0,L,,,,
2017,O,17.2,Oak,,44.0,L,,,,
2020,old forest,20.1,oak,,51,L,,,,
2020,old forest,20.1,oak,,37.8,L,,,,
2020,old forest,20.1,oak,,40.8,L,,,,
2020,old forest,20.2,Oak,,39.5,L,,,,
2020,second-growth,20.6,Oak,,38,L,,,,
2019,Old Growth ,19.3,paper birch,,31.9,L,,,,"paler bark, green moss, curvy branches"
2019,old,19.2,red maple,sap,,L,,,,
2019,old,19.2,red maple,sap,,L,,,,
2019,old,19.2,red maple,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,"pine needles, lots of thick branches, thinner branches at base"
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2019,Old Growth ,19.3,sap,sap,,L,,,,
2011,O,11.1,Snag,,34.6,D,8.56,,,
2009,S,9.2,unknown,,30.5,D,3.45,,,
2019,Old,19.1,Unknown,Stump,,D,,4,IV,.8m
2019,old,19.2,yellow birch,sap,,L,,,,
2019,old,19.2,yellow birch,sap,,L,,,,
2019,old,19.2,yellow birch,sap,,L,,,,
,,,,,,,,,,
